i,j
8128,4539
7691,7753
1352,10319
2455,2543
4541,2052
11266,5981
3586,7621
1372,1297
5075,5088
550,1283
5945,4811
2885,9287
9022,6977
4549,8624
5809,6072
670,9087
7451,10591
10085,779
1455,2654
11288,11439
2531,824
1090,9007
9280,4760
10355,235
9175,10759
2717,3497
6108,2477
3204,7863
9069,9047
2362,11156
1552,1084
11198,2143
1171,4437
8471,2057
11181,4075
9727,4258
1036,2556
1730,2926
601,5325
2998,4314
2134,3980
365,8919
10861,3485
4361,1550
7638,2667
10532,9745
7675,2090
4654,1544
596,1615
5266,3583
7423,861
11401,83
4472,1640
439,10846
7095,3977
2378,3441
367,8105
1833,1855
1496,11210
933,2262
3212,8522
8606,3526
6510,7269
7302,2818
935,11403
1260,618
8601,2579
8749,8337
10299,6474
7198,8648
669,6456
10405,4186
1068,1140
3730,3531
5584,3992
9855,6324
4931,495
9277,3862
7161,5768
7974,4601
10805,4803
3834,163
7963,4914
65,2312
10960,8022
3249,3516
8328,7777
5063,1796
68,580
4021,3051
2400,3643
4337,8266
9433,1165
2047,2286
8783,6933
922,10755
3101,538
11192,7535
982,9664
2328,453
589,4300
4136,10415
8262,3854
320,6120
3141,8795
7508,1493
11431,4993
5397,10562
873,10405
5820,1164
11446,2827
4552,2054
11550,6850
3677,6050
6059,2179
6211,8265
577,3546
5918,3491
4910,259
7524,5709
10498,8902
447,246
5314,1786
3559,1288
5797,7950
627,9860
11526,7554
7484,5505
4191,623
25,6573
6615,1388
2722,4958
5136,5335
3164,7058
4927,2753
8662,402
5922,8717
4477,3339
3635,5119
2877,5936
8703,5879
8811,720
5274,7818
4192,1991
6822,9219
2078,8673
4369,747
329,2464
7063,999
4686,9385
2580,6488
4650,4830
6316,2764
1010,9383
9191,10759
8765,7514
9475,10054
8626,3919
17,6717
1074,9323
4050,1887
4027,3601
5415,398
3308,6351
6467,5958
9082,4095
3182,5616
2281,10940
8730,5347
7862,6935
2617,6223
3408,849
341,10187
9673,11299
6251,4339
308,6218
6930,10319
9854,8192
4130,2647
7008,7112
1904,4523
2054,7068
2338,91
10427,6450
6382,5582
380,8870
7304,4386
2614,6809
1039,10432
9651,1869
4005,1434
241,947
9005,3699
11480,1465
7639,4534
741,4450
8030,7461
1164,11522
5655,3260
4862,1244
5161,3841
923,4131
6601,1619
5197,6121
7999,2691
7715,1818
11211,2372
2815,5218
9311,7488
6081,9510
3541,8825
459,11478
341,10078
3280,6380
11357,11287
3473,5968
4854,8317
1622,780
1507,2353
7319,8337
459,7474
7154,3783
8656,442
7160,7384
11149,11259
599,9185
7328,308
5965,7034
539,4650
9002,9863
1309,9738
3308,7079
559,5428
5781,3058
4755,3321
11217,10209
8578,4251
10218,3855
7720,7147
8216,2377
8087,129
3980,2636
1982,5634
1078,118
1951,1816
3245,5107
6159,7675
8805,5509
5186,3900
1750,10854
1299,2773
4683,10967
6581,9442
4288,6560
6489,1792
734,1796
4932,4075
3887,2184
10583,7376
1339,4905
4309,3765
6853,1410
7004,6771
1265,9846
10534,6217
732,1504
7457,3280
2609,1968
7132,2546
5128,4699
4599,5711
11389,3617
8122,4723
8428,8283
6873,5864
8372,1654
1334,554
10,1473
5074,4561
9038,10929
8239,9394
1364,2850
4223,4133
7479,10083
6080,2913
6617,4298
1229,3045
2715,282
4312,2332
3788,3811
6881,4973
2355,165
4429,10995
6466,849
3,6046
2920,8005
661,9344
3167,10220
6060,3255
3433,11186
4920,9388
8378,1376
3461,1672
2194,7779
3932,2396
6675,2823
1358,5538
417,7763
10276,10675
11339,6159
6306,5528
3710,80
2080,9230
2917,2023
5434,6578
4513,5956
6079,1180
3511,2841
1587,4735
8800,7161
3490,2381
6936,1066
3276,377
2215,3408
10584,6072
1183,6625
1001,3039
5298,1673
4564,3944
5780,2269
6820,9204
528,1547
4051,2920
7011,5604
299,9406
7953,7063
1056,2034
1891,4723
5107,9119
3383,4100
2084,7133
4146,6917
4815,10315
1539,2858
5521,10371
3375,2612
118,6575
6377,284
10393,5440
9436,2907
8654,5423
3784,2140
8803,11360
9851,4139
4129,3875
3051,8200
10047,3932
2350,2906
1370,7494
10713,3615
300,7490
9733,2760
7601,5079
1704,7633
6544,4447
3963,6193
715,2154
1231,1876
3509,2314
5365,10249
3532,3808
215,1882
7105,7895
2892,829
5415,1359
79,5430
4960,9164
1492,6189
5252,7208
1002,1967
4671,1950
5639,2342
9134,6455
11241,4010
2103,1992
4636,3728
1538,8221
7511,4043
5939,131
7245,3596
8271,11004
4206,10856
1740,5715
3631,10404
9840,4160
7722,85
1984,1130
6392,1104
2592,271
1108,5227
5209,5456
8596,3980
9761,1769
2869,6105
3558,10707
4926,6293
6604,6179
9187,5581
1370,10930
11361,4117
6297,7305
5137,4986
5286,824
388,2398
5007,238
10575,11402
4395,4008
36,2555
11236,10226
1464,7710
2880,6054
7297,5188
765,7924
10785,434
195,4414
992,2132
6280,8811
5093,5347
4465,9411
97,7958
6676,9036
11457,1909
4778,1797
2019,5298
4360,11290
7666,107
10563,4007
3721,9059
6450,6341
5789,2621
3094,48
5617,9761
991,7814
11204,6996
7321,10471
4899,5039
8063,4837
7363,5518
1996,1688
9711,1605
846,508
2560,7175
2754,1316
1251,2042
3133,1291
6979,11426
9383,11319
2587,6684
1707,2772
6356,7079
8823,1920
5050,7671
2596,2287
4605,8269
1522,2887
10248,2688
9450,5521
716,571
1512,10314
4296,3664
7309,9736
10590,1415
2099,5515
1672,8710
3298,725
9201,8605
851,6046
7646,227
11354,5822
27,2485
5600,8849
5415,2117
11181,10396
5975,4816
10466,2657
2120,6133
